time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-25T16:02:18.800Z,38.8278351,-122.8095016,1.17,2.7,md,32,44,0.004456,0.04,nc,nc73145631,2019-02-25T16:08:04.449Z,"7km NW of The Geysers, CA",earthquake,0.16,0.3,0.16,13,automatic,nc,nc
2019-02-25T15:28:42.110Z,-29.7727,-71.8094,10,5.3,mww,,97,0.516,0.96,us,us2000jmvn,2019-02-25T16:12:38.258Z,"49km WNW of Coquimbo, Chile",earthquake,4.7,1.7,0.075,17,reviewed,us,us
2019-02-25T15:08:41.210Z,-42.5144,173.9192,12.63,4.2,mb,,171,0.298,0.41,us,us2000jmvc,2019-02-25T15:57:18.040Z,"22km ESE of Kaikoura, New Zealand",earthquake,3.5,7.1,0.372,3,reviewed,us,us
2019-02-25T15:05:33.200Z,4.3008,-32.615,10,5.6,mww,,52,10.582,0.78,us,us2000jmvf,2019-02-25T15:51:02.887Z,"Central Mid-Atlantic Ridge",earthquake,9.6,1.8,0.069,20,reviewed,us,us
2019-02-25T14:51:52.889Z,56.4741,-149.614,0,3.1,ml,,,,1.13,ak,ak0192kuqoki,2019-02-25T14:56:08.798Z,"223km SE of Kodiak, Alaska",earthquake,,261.1,,,automatic,ak,ak
2019-02-25T14:49:55.530Z,43.9893,148.2677,35,4.6,mb,,182,4.092,0.58,us,us2000jmv8,2019-02-25T15:41:35.040Z,"126km E of Shikotan, Russia",earthquake,5.5,2,0.057,93,reviewed,us,us
2019-02-25T14:35:59.500Z,-21.5054,-68.6744,109.75,4.4,mb,,60,0.602,0.66,us,us2000jmuy,2019-02-25T14:57:29.040Z,"109km NNE of Calama, Chile",earthquake,6,7.6,0.189,10,reviewed,us,us
2019-02-25T13:55:14.090Z,40.6433334,-121.8125,13.12,2.47,md,17,123,0.2114,0.09,nc,nc73145581,2019-02-25T14:24:04.868Z,"18km NNE of Shingletown, CA",earthquake,0.37,1.51,0.1,14,automatic,nc,nc
2019-02-25T13:11:57.220Z,38.8378334,-122.8303299,1.87,2.51,md,24,77,0.004098,0.03,nc,nc73145546,2019-02-25T14:47:03.998Z,"9km NW of The Geysers, CA",earthquake,0.21,0.3,0.14,11,automatic,nc,nc
2019-02-25T06:36:45.584Z,38.3737,-115.801,8.8,2.5,ml,34,72.04,0.731,0.2143,nn,nn00678778,2019-02-25T08:14:38.040Z,"49km SW of Currant, Nevada",earthquake,,3.9,0.52,12,reviewed,nn,nn
2019-02-25T06:21:40.270Z,17.6451,-65.9555,76,2.64,md,3,333,0.7574,0.17,pr,pr2019056004,2019-02-25T08:22:50.870Z,"37km SSE of Arroyo, Puerto Rico",earthquake,4.1,5.63,0.19,3,reviewed,pr,pr
2019-02-25T05:39:52.058Z,61.4126,-150.1336,20.5,3.1,ml,,,,0.91,ak,ak0192kpb2mp,2019-02-25T07:48:38.478Z,"15km SW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-25T05:15:59.860Z,29.4975,104.6321,10,4.9,mb,,23,4.293,0.53,us,us2000jmpz,2019-02-25T06:24:30.040Z,"4km SW of Yanling, China",earthquake,7.8,1.8,0.039,208,reviewed,us,us
2019-02-25T05:01:17.810Z,-4.4735,151.8763,158.87,5,mb,,87,0.4,1.04,us,us2000jmp6,2019-02-25T05:26:54.040Z,"44km SW of Rabaul, Papua New Guinea",earthquake,6.3,5.8,0.1,32,reviewed,us,us
2019-02-25T02:32:33.170Z,19.2283,-66.5418,25,2.73,md,10,304,0.9068,0.39,pr,pr2019056003,2019-02-25T05:52:27.706Z,"85km NNE of Arecibo, Puerto Rico",earthquake,1.99,27.48,0.36,9,reviewed,pr,pr
2019-02-25T02:21:25.522Z,64.725,-149.066,16.7,2.5,ml,,,,0.81,ak,ak0192kneuxf,2019-02-25T02:32:05.157Z,"16km N of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-02-25T02:09:09.706Z,63.2774,-151.5661,11.2,2.5,ml,,,,1.06,ak,ak0192knc91f,2019-02-25T02:19:10.394Z,"129km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-25T00:45:38.560Z,19.2453,-66.5198,22,2.74,md,6,304,0.9286,0.33,pr,pr2019056002,2019-02-25T05:52:15.850Z,"86km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.1,27.58,0.31,6,reviewed,pr,pr
2019-02-25T00:40:27.400Z,29.4709,104.5609,10,4.6,mb,,27,4.359,0.68,us,us2000jmlw,2019-02-25T03:32:46.040Z,"11km SW of Yanling, China",earthquake,7,1.8,0.041,180,reviewed,us,us
2019-02-25T00:33:41.630Z,18.464,-67.575,17,2.59,md,8,314,0.1246,0.4,pr,pr2019056001,2019-02-25T05:52:01.362Z,"36km WNW of Rincon, Puerto Rico",earthquake,2.41,1.07,0.29,8,reviewed,pr,pr
2019-02-25T00:10:39.403Z,38.3678,-115.798,6.9,2.7,ml,36,71.85,0.725,0.2722,nn,nn00678766,2019-02-25T04:02:52.279Z,"50km SW of Currant, Nevada",earthquake,,5.6,0.44,12,reviewed,nn,nn
2019-02-24T23:58:54.300Z,12.7449,-88.513,53.65,4.5,mb,,125,1.428,1.07,us,us2000jmky,2019-02-25T01:20:02.270Z,"59km S of Puerto El Triunfo, El Salvador",earthquake,6,8.3,0.051,112,reviewed,us,us
2019-02-24T23:53:43.720Z,19.1253,-67.4406,51,3.03,md,3,337,1.1668,0.38,pr,pr2019055014,2019-02-25T05:51:38.234Z,"78km NNW of San Antonio, Puerto Rico",earthquake,7.14,23.89,0.11,3,reviewed,pr,pr
2019-02-24T23:39:55.970Z,19.199,-66.511,23,2.89,md,6,303,0.8863,0.35,pr,pr2019055013,2019-02-25T05:51:16.330Z,"81km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.23,28.48,0.31,5,reviewed,pr,pr
2019-02-24T23:27:13.810Z,19.1596,-66.538,13,3.19,md,19,240,0.6826,0.48,pr,pr2019055012,2019-02-25T03:36:34.040Z,"65km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.49,4.26,0.43,19,reviewed,pr,pr
2019-02-24T22:26:15.350Z,19.5711,-66.486,85,3.13,md,3,352,1.2534,0.23,pr,pr2019055011,2019-02-25T01:46:28.040Z,"133km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,13.12,15.75,0.15,2,reviewed,pr,pr
2019-02-24T21:05:11.300Z,40.3951683,-125.0263367,-0.31,4.15,mw,71,255,0.5319,0.21,nc,nc73145321,2019-02-25T06:42:57.566Z,"63km W of Petrolia, CA",earthquake,1.64,4.69,,4,reviewed,nc,nc
2019-02-24T20:54:45.910Z,40.4501648,-124.9106674,-0.26,3.15,ml,37,291,0.4381,0.25,nc,nc73145311,2019-02-24T22:41:03.441Z,"55km WNW of Petrolia, CA",earthquake,3.79,5.9,0.333,7,automatic,nc,nc
2019-02-24T19:50:19.830Z,-10.594,165.7624,112.87,5.1,mb,,111,5.841,1.17,us,us2000jmij,2019-02-24T20:08:55.040Z,"15km NNW of Lata, Solomon Islands",earthquake,12,8,0.106,29,reviewed,us,us
2019-02-24T19:27:54.760Z,17.7867,120.3382,49.04,4.5,mb,,96,5.053,0.89,us,us2000jmib,2019-02-24T21:36:35.040Z,"11km N of Puro Pingit, Philippines",earthquake,10.8,3.8,0.107,26,reviewed,us,us
2019-02-24T18:12:16.505Z,38.3635,-115.808,5.1,3,ml,66,71.8,0.721,0.265,nn,nn00678738,2019-02-25T02:05:56.170Z,"51km SW of Currant, Nevada",earthquake,,1.8,0.39,23,reviewed,nn,nn
2019-02-24T17:12:13.100Z,10.3426,93.9204,10,4.4,mb,,195,5.867,1.21,us,us2000jmh9,2019-02-24T21:24:50.040Z,"194km SE of Port Blair, India",earthquake,10.3,1.9,0.13,17,reviewed,us,us
